City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Suntar,RU,2020-12-16 04:47:50,62.14,117.63,-6.63,90,100,4.29
231,Pachperwa,IN,2020-12-16 04:47:51,27.52,82.65,71.01,30,16,6.22
232,Cayenne,GF,2020-12-16 04:47:51,4.93,-52.33,77.0,100,96,4.97
233,Bathsheba,BB,2020-12-16 04:47:51,13.22,-59.52,75.2,88,40,4.7
234,Hirara,JP,2020-12-16 04:47:51,24.8,125.28,64.4,82,75,17.22
235,Asau,RO,2020-12-16 04:47:52,46.43,26.4,32.0,4,0,2.55
236,Le Port,RE,2020-12-16 04:47:52,-20.94,55.29,80.6,69,75,21.92
237,Tyrma,RU,2020-12-16 04:47:52,50.08,132.17,-6.43,80,21,7.09
238,Lavrentiya,RU,2020-12-16 04:47:52,65.58,-171.0,14.59,94,100,12.68
239,Rawson,AR,2020-12-16 04:47:52,-43.3,-65.1,62.91,36,47,24.61
240,Xining,CN,2020-12-16 04:44:42,36.62,101.77,18.59,78,79,3.04
241,Husavik,IS,2020-12-16 04:47:53,66.04,-17.34,37.4,91,90,16.11
242,Agadir,MA,2020-12-16 04:47:53,30.42,-9.6,55.4,100,40,4.7
243,Okha,RU,2020-12-16 04:47:53,53.57,142.95,17.89,95,100,28.07
244,Vao,NC,2020-12-16 04:47:53,-22.67,167.48,75.88,76,1,22.93
245,Icatu,BR,2020-12-16 04:47:54,-2.78,-44.07,78.8,94,0,4.7
246,Tuatapere,NZ,2020-12-16 04:47:54,-46.13,167.68,59.0,92,100,15.99
247,Thunder Bay,CA,2020-12-16 04:47:54,48.4,-89.32,12.2,92,90,3.36
248,Atasu,KZ,2020-12-16 04:47:54,48.68,71.64,-0.4,85,11,1.28
249,Petauke,ZM,2020-12-16 04:47:55,-14.24,31.33,67.73,91,100,0.74
250,Mao,ES,2020-12-16 04:47:55,39.89,4.27,55.4,82,0,3.36
251,Edmond,US,2020-12-16 04:47:32,35.65,-97.48,28.99,94,97,7.45
252,Kaeo,NZ,2020-12-16 04:47:55,-35.1,173.78,71.91,53,0,5.06
253,Sibolga,ID,2020-12-16 04:47:55,1.74,98.78,84.27,62,100,3.98
254,Sao Joao Batista,BR,2020-12-16 04:47:56,-27.28,-48.85,75.0,94,81,1.99
255,Mahibadhoo,MV,2020-12-16 04:47:56,3.78,72.97,82.67,70,53,8.72
256,San Patricio,US,2020-12-16 04:47:56,28.02,-97.52,53.01,81,1,3.36
257,Hargeysa,SO,2020-12-16 04:47:56,9.56,44.06,56.66,75,0,13.87
258,Ulagan,RU,2020-12-16 04:47:57,50.63,87.96,12.07,84,99,0.65
259,Meulaboh,ID,2020-12-16 04:47:57,4.14,96.13,83.32,68,98,6.38
260,Tuktoyaktuk,CA,2020-12-16 04:47:57,69.45,-133.04,-20.2,82,40,9.17
261,Lata,PT,2020-12-16 04:47:57,40.16,-8.33,57.0,88,100,5.01
262,Machinga,MW,2020-12-16 04:47:58,-15.17,35.3,78.8,57,75,5.59
263,San Nicolas,PH,2020-12-16 04:47:58,18.17,120.6,86.0,66,75,17.22
264,Mehamn,NO,2020-12-16 04:47:58,71.04,27.85,30.2,63,90,18.34
265,Port Alfred,ZA,2020-12-16 04:47:58,-33.59,26.89,68.0,81,2,5.99
266,Aswan,EG,2020-12-16 04:47:58,24.09,32.91,53.04,53,0,7.58
267,Mezhdurechenskiy,RU,2020-12-16 04:47:59,59.6,65.93,16.02,92,100,7.65
268,Turtas,RU,2020-12-16 04:47:59,58.94,69.13,13.53,96,100,7.58
269,La Asuncion,VE,2020-12-16 04:47:59,11.03,-63.86,80.6,83,31,9.17
270,Kasempa,ZM,2020-12-16 04:47:59,-13.46,25.83,64.2,92,92,6.08
271,Naze,JP,2020-12-16 04:48:00,28.37,129.48,60.8,72,75,8.05
272,Lompoc,US,2020-12-16 04:48:00,34.64,-120.46,50.0,81,1,5.82
273,Zhanaozen,KZ,2020-12-16 04:48:00,43.3,52.8,27.54,88,0,26.24
274,Zarnesti,RO,2020-12-16 04:48:00,45.3,26.87,33.46,93,0,1.45
275,Ribeira Grande,PT,2020-12-16 04:48:01,38.52,-28.7,62.71,90,100,13.49
276,Natchitoches,US,2020-12-16 04:48:01,31.77,-93.13,42.8,100,90,3.27
277,Matamoros,MX,2020-12-16 04:48:01,25.53,-103.25,51.94,39,0,4.54
278,Coronel Vivida,BR,2020-12-16 04:48:01,-25.98,-52.57,64.18,95,2,2.75
279,Ust-Koksa,RU,2020-12-16 04:48:02,50.27,85.61,11.62,89,92,0.89
